features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'year')",6,0.42024074784879717,0.41878052078401035,1.1221285297036792,1.1179570975946838
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'day', 'year')",7,0.42024037239530904,0.41878078352960435,1.1221283081169726,1.1179584703732928
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'day', 'year')",6,0.4202712535353766,0.41878182860067625,1.1223189046308653,1.1181667998164602
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'year')",5,0.42027189559499795,0.4187822673384625,1.1223191114058204,1.1181654936716479
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month')",6,0.4202624849825477,0.41878593642245643,1.1222998255187269,1.1181406155313685
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day')",7,0.420262711635149,0.41878610753839324,1.1222995575334147,1.1181420430115885
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'quarter')",6,0.4202402143188594,0.4187885840570235,1.122116024150883,1.1179552384932532
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'year', 'quarter')",6,0.4202479530750959,0.41878903695203057,1.1221272009815042,1.1179550625108712
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'quarter')",7,0.42024041373135895,0.41878913675897406,1.1221157089264973,1.1179568262164334
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'day', 'year', 'quarter')",7,0.4202475606340501,0.4187894589492189,1.122126971772583,1.1179564584526902
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'quarter')",6,0.4202684686286123,0.41879289495186073,1.1222988985158484,1.1181387263029814
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'quarter')",7,0.42026866047024175,0.4187930419622189,1.1222986209078147,1.1181401791604293
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'year', 'quarter')",7,0.42025504052858337,0.41879363528821545,1.1221236204754554,1.1179549468411674
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'month', 'day', 'year', 'quarter')",8,0.4202547289079839,0.41879405725259294,1.1221233946534739,1.117956335508744
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'day', 'year')",7,0.42028137551575245,0.4187945956073986,1.1223181280660384,1.118163793162397
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'year')",6,0.4202819518900217,0.41879505000057965,1.1223183478336938,1.1181624722592343
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'quarter')",7,0.4202721461461703,0.41879548622937035,1.122294821798434,1.118138384979937
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek')",5,0.42025476523721633,0.4187956856652847,1.1221072954485196,1.117935155817754
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'quarter')",8,0.4202725213679413,0.4187959220632407,1.1222945529281938,1.1181398188887375
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day')",6,0.4202547898709422,0.4187961793289069,1.122107036699007,1.1179366376561544
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'quarter')",7,0.4202522474082628,0.4187982900351048,1.1221117009360664,1.1179548523759022
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'quarter')",8,0.4202524795924571,0.41879912197504904,1.1221113951638484,1.1179564207326504
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'day', 'year', 'quarter')",8,0.4202878181313541,0.41880069643797224,1.1223139355503615,1.1181620947992434
