features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'lag_1', 'month', 'quarter')",4,0.09631020198097011,0.0960427784949031,0.26520756497437264,0.2643887857417664
"('rolling_24_std', 'lag_1', 'month', 'day', 'quarter')",5,0.09631044988120942,0.09604329280874858,0.26520747098444963,0.264389198065927
"('rolling_24_std', 'lag_1', 'month')",3,0.09631286546716955,0.09604473468387319,0.2652097045079383,0.2643907200960991
"('rolling_24_std', 'lag_1', 'quarter')",3,0.09631284624110356,0.09604503568603313,0.26520877517208125,0.26438952437982083
"('rolling_24_std', 'lag_1', 'month', 'day')",4,0.09631315806085777,0.09604523888043016,0.2652096109200677,0.2643911300656192
"('rolling_24_std', 'lag_1', 'day', 'quarter')",4,0.0963131344780908,0.09604555170214951,0.2652086784062749,0.2643899406660397
"('rolling_24_std', 'lag_1', 'year')",3,0.09635460028882573,0.0960831475792828,0.2652087952479762,0.2643922740088762
"('rolling_24_std', 'lag_1', 'day', 'year')",4,0.09635451513334423,0.09608321224405343,0.2652087427099357,0.2643926019710103
"('rolling_24_std', 'lag_1', 'lag_24', 'day')",4,0.09631252928417243,0.09608392200682794,0.26429313955771044,0.26356121288078943
"('rolling_24_std', 'lag_1', 'lag_24')",3,0.09631248452746075,0.09608409572088085,0.2642932072549607,0.2635608760795319
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day')",5,0.09631544328501145,0.0960870894944313,0.2642926207680384,0.263559853415838
"('rolling_24_std', 'lag_1', 'lag_24', 'month')",4,0.09631537428923286,0.09608724380060636,0.26429269572702224,0.2635595088429938
"('rolling_24_std', 'lag_1', 'month', 'year', 'quarter')",5,0.09635722869690345,0.09608726523772294,0.2652046694036417,0.26438654490519065
"('rolling_24_std', 'lag_1', 'month', 'day', 'year', 'quarter')",6,0.09635713271027002,0.09608748988967332,0.265204603776027,0.2643869011678433
"('rolling_24_std', 'lag_1', 'dayofweek')",3,0.09635698640180289,0.09608815552409676,0.2652019165455845,0.2643848091155329
"('rolling_24_std', 'lag_1', 'dayofweek', 'day')",4,0.09635722687049639,0.09608855654727716,0.2652018472465512,0.2643851741765151
"('rolling_24_std', 'lag_1', 'lag_24', 'day', 'quarter')",5,0.09631684562343491,0.0960887920046294,0.2642921982208054,0.2635592453584872
"('rolling_24_std', 'lag_1', 'lag_24', 'quarter')",4,0.09631674759144536,0.09608895872757332,0.26429227555940765,0.26355889560244583
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'day', 'quarter')",6,0.09631748211781195,0.09609039132108899,0.2642913369452344,0.26355892963194094
"('rolling_24_std', 'lag_1', 'dayofweek', 'month', 'quarter')",5,0.09635781018523588,0.09609042074645283,0.2651978748501066,0.26437931016237376
"('rolling_24_std', 'lag_1', 'lag_24', 'month', 'quarter')",5,0.0963173292280057,0.09609049195097835,0.26429141219007973,0.2635585833480918
"('rolling_24_std', 'lag_1', 'dayofweek', 'month', 'day', 'quarter')",6,0.09635813570696566,0.09609097906633711,0.265197791157642,0.26437969877802303
"('rolling_24_std', 'lag_1', 'year', 'quarter')",4,0.0963618677700843,0.09609157631126461,0.2652056118908164,0.2643871007854776
"('rolling_24_std', 'lag_1', 'month', 'year')",4,0.09636221404502399,0.09609162177299985,0.26520654521757475,0.26438825732494015
"('rolling_24_std', 'lag_1', 'day', 'year', 'quarter')",5,0.09636178169751822,0.09609173843216333,0.26520554532744334,0.264387458469564
